Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",Rate,LGA_Code
2014,2 EASTERN,MANSFIELD,388,4642.258913615698,4.642258913615698,24250
2014,2 EASTERN,MANNINGHAM,3130,2614.7394449735184,2.6147394449735186,24210
2014,2 EASTERN,LATROBE,7815,10560.525391205643,10.560525391205644,23810
2014,2 EASTERN,KNOX,7162,4541.016244182655,4.541016244182655,23670
2014,2 EASTERN,INDIGO,329,2100.4916044180554,2.1004916044180555,23350
2014,2 EASTERN,GREATER SHEPPARTON,5631,8803.939962476548,8.803939962476548,22830
2014,2 EASTERN,EAST GIPPSLAND,2922,6610.710164928395,6.610710164928395,22110
2014,2 EASTERN,BOROONDARA,5683,3288.468660309231,3.288468660309231,21110
2014,2 EASTERN,BENALLA,819,5894.630775874478,5.894630775874478,21010
2014,2 EASTERN,BAW BAW,2279,4901.075268817204,4.901075268817205,20830
2014,2 EASTERN,BASS COAST,1996,6267.466323358559,6.267466323358559,20740
2014,2 EASTERN,ALPINE,278,2262.738075858701,2.262738075858701,20110
2013,2 EASTERN,YARRA RANGES,5050,3345.2570217276098,3.3452570217276096,27450
2013,2 EASTERN,WODONGA,2235,5963.498585837025,5.963498585837025,27170
2013,2 EASTERN,WHITEHORSE,5801,3574.4654630599543,3.5744654630599544,26980
2013,2 EASTERN,WELLINGTON,2797,6550.197887637292,6.550197887637292,26810
2013,2 EASTERN,WANGARATTA,1679,6074.52966714906,6.07452966714906,26700
2013,2 EASTERN,TOWONG,212,3573.2344513736725,3.5732344513736725,26670
2013,2 EASTERN,STRATHBOGIE,373,3783.728951105701,3.7837289511057013,26430
2013,2 EASTERN,SOUTH GIPPSLAND,895,3173.4212672410736,3.1734212672410735,26170
2013,2 EASTERN,MURRINDINDI,535,3950.6719834588685,3.9506719834588684,25620
2013,2 EASTERN,MONASH,6822,3720.265686520445,3.720265686520445,24970
2013,2 EASTERN,MOIRA,1177,4081.7034262727148,4.081703426272715,24900
2013,2 EASTERN,MITCHELL,1991,5277.247667514843,5.2772476675148425,24850
2013,2 EASTERN,MAROONDAH,5498,5004.141295542874,5.004141295542874,24410
2013,2 EASTERN,MANSFIELD,293,3551.5151515151515,3.5515151515151513,24250
2013,2 EASTERN,MANNINGHAM,3112,2625.960897484579,2.625960897484579,24210
2013,2 EASTERN,LATROBE,7618,10291.95206636134,10.29195206636134,23810
2013,2 EASTERN,KNOX,6923,4423.811775531331,4.42381177553133,23670
2013,2 EASTERN,INDIGO,355,2282.077654924145,2.282077654924145,23350
2013,2 EASTERN,GREATER SHEPPARTON,5116,8087.7703300872645,8.087770330087265,22830
2013,2 EASTERN,EAST GIPPSLAND,3071,7020.070406437159,7.020070406437159,22110
2013,2 EASTERN,BOROONDARA,5966,3498.196956814917,3.498196956814917,21110
2013,2 EASTERN,BENALLA,854,6155.842283572407,6.155842283572407,21010
2013,2 EASTERN,BAW BAW,2216,4868.189806678383,4.868189806678384,20830
2013,2 EASTERN,BASS COAST,1970,6298.356672421511,6.2983566724215105,20740
2013,2 EASTERN,ALPINE,363,2967.3833074470695,2.9673833074470695,20110
2012,2 EASTERN,YARRA RANGES,5217,3479.9951972464214,3.4799951972464216,27450
2012,2 EASTERN,WODONGA,2603,7089.745335693859,7.089745335693858,27170
2012,2 EASTERN,WHITEHORSE,5584,3494.63038526047,3.49463038526047,26980
2012,2 EASTERN,WELLINGTON,2862,6743.479182865625,6.7434791828656255,26810
2012,2 EASTERN,WANGARATTA,1737,6330.86707730437,6.33086707730437,26700
2012,2 EASTERN,TOWONG,196,3307.45865676679,3.3074586567667903,26670
2012,2 EASTERN,STRATHBOGIE,379,3891.170431211499,3.8911704312114987,26430
2012,2 EASTERN,SOUTH GIPPSLAND,936,3355.4400430184623,3.3554400430184623,26170
2012,2 EASTERN,MURRINDINDI,457,3398.527552613966,3.3985275526139658,25620
2012,2 EASTERN,MONASH,6525,3617.0024057916385,3.6170024057916383,24970
2012,2 EASTERN,MOIRA,1058,3693.489265142259,3.693489265142259,24900
2012,2 EASTERN,MITCHELL,1961,5393.289328932894,5.393289328932894,24850
2012,2 EASTERN,MAROONDAH,5218,4809.526881918649,4.809526881918649,24410
2012,2 EASTERN,MANSFIELD,254,3141.620284477427,3.141620284477427,24250
2012,2 EASTERN,MANNINGHAM,2923,2486.9187901476157,2.4869187901476155,24210
2012,2 EASTERN,LATROBE,7456,10080.716033692523,10.080716033692523,23810
